Employee,Date,Job,Task,Hours
Miguel Alvarez,09/07/2026,ELEC-IW,Rough-in,8.0
Miguel Alvarez,09/08/2026,ELEC-IW,Rough-in,8.0
Miguel Alvarez,09/09/2026,ELEC-IW,Rough-in,8.0
Miguel Alvarez,09/10/2026,ELEC-IW,Rough-in,8.0
Miguel Alvarez,09/11/2026,ELEC-IW,Rough-in,7.5
David Chen,09/07/2026,ELEC-IW,Rough-in,8.0
David Chen,09/08/2026,ELEC-IW,Rough-in,8.0
David Chen,09/09/2026,ELEC-IW,Rough-in,9.25
David Chen,09/10/2026,ELEC-IW,Rough-in,8.0
David Chen,09/11/2026,ELEC-IW,Rough-in,7.5
Anna Rossi,09/07/2026,ELEC-IW,Rough-in,8.0
Anna Rossi,09/08/2026,ELEC-IW,Rough-in,8.0
Anna Rossi,09/09/2026,ELEC-IW,Rough-in,8.0
Anna Rossi,09/10/2026,ELEC-IW,Rough-in,8.0
Anna Rossi,09/11/2026,ELEC-IW,Rough-in,7.5
José Peña,09/07/2026,ELEC-IW,Rough-in,8.0
José Peña,09/08/2026,ELEC-IW,Rough-in,8.0
José Peña,09/09/2026,ELEC-IW,Rough-in,8.0
José Peña,09/10/2026,ELEC-IW,Rough-in,8.0
José Peña,09/11/2026,ELEC-IW,Rough-in,7.5
