Employee;Date;Job;Task;Hours
Miguel Alvarez;2026-09-07;ELEC-IW;Rough-in;8,0
Miguel Alvarez;2026-09-08;ELEC-IW;Rough-in;8,0
Miguel Alvarez;2026-09-09;ELEC-IW;Rough-in;8,0
Miguel Alvarez;2026-09-10;ELEC-IW;Rough-in;8,0
Miguel Alvarez;2026-09-11;ELEC-IW;Rough-in;7,5
David Chen;2026-09-07;ELEC-IW;Rough-in;8,0
David Chen;2026-09-08;ELEC-IW;Rough-in;8,0
David Chen;2026-09-09;ELEC-IW;Rough-in;9,25
David Chen;2026-09-10;ELEC-IW;Rough-in;8,0
David Chen;2026-09-11;ELEC-IW;Rough-in;7,5
Anna Rossi;2026-09-07;ELEC-IW;Rough-in;8,0
Anna Rossi;2026-09-08;ELEC-IW;Rough-in;8,0
Anna Rossi;2026-09-09;ELEC-IW;Rough-in;8,0
Anna Rossi;2026-09-10;ELEC-IW;Rough-in;8,0
Anna Rossi;2026-09-11;ELEC-IW;Rough-in;7,5
José Peña;2026-09-07;ELEC-IW;Rough-in;8,0
José Peña;2026-09-08;ELEC-IW;Rough-in;8,0
José Peña;2026-09-09;ELEC-IW;Rough-in;8,0
José Peña;2026-09-10;ELEC-IW;Rough-in;8,0
José Peña;2026-09-11;ELEC-IW;Rough-in;7,5
