Name,Date,Hours,Classification
Miguel Alvarez,09/07/2026,8.0,Electrician – Inside Wireman
Miguel Alvarez,09/08/2026,8.0,Electrician – Inside Wireman
Miguel Alvarez,09/09/2026,8.0,Electrician – Inside Wireman
Miguel Alvarez,09/10/2026,8.0,Electrician – Inside Wireman
Miguel Alvarez,09/11/2026,7.5,Electrician – Inside Wireman
David Chen,09/07/2026,8.0,Electrician – Inside Wireman
David Chen,09/08/2026,8.0,Electrician – Inside Wireman
David Chen,09/09/2026,9.25,Electrician – Inside Wireman
David Chen,09/10/2026,8.0,Electrician – Inside Wireman
David Chen,09/11/2026,7.5,Electrician – Inside Wireman
Anna Rossi,09/07/2026,8.0,Electrician – Inside Wireman
Anna Rossi,09/08/2026,8.0,Electrician – Inside Wireman
Anna Rossi,09/09/2026,8.0,Electrician – Inside Wireman
Anna Rossi,09/10/2026,8.0,Electrician – Inside Wireman
Anna Rossi,09/11/2026,7.5,Electrician – Inside Wireman
José Peña,09/07/2026,8.0,Electrician – Inside Wireman
José Peña,09/08/2026,8.0,Electrician – Inside Wireman
José Peña,09/09/2026,8.0,Electrician – Inside Wireman
José Peña,09/10/2026,8.0,Electrician – Inside Wireman
José Peña,09/11/2026,7.5,Electrician – Inside Wireman
