Name;Date;Hours;Classification
Miguel Alvarez;2026-09-07;8,0;Electrician – Inside Wireman
Miguel Alvarez;2026-09-08;8,0;Electrician – Inside Wireman
Miguel Alvarez;2026-09-09;8,0;Electrician – Inside Wireman
Miguel Alvarez;2026-09-10;8,0;Electrician – Inside Wireman
Miguel Alvarez;2026-09-11;7,5;Electrician – Inside Wireman
David Chen;2026-09-07;8,0;Electrician – Inside Wireman
David Chen;2026-09-08;8,0;Electrician – Inside Wireman
David Chen;2026-09-09;9,25;Electrician – Inside Wireman
David Chen;2026-09-10;8,0;Electrician – Inside Wireman
David Chen;2026-09-11;7,5;Electrician – Inside Wireman
Anna Rossi;2026-09-07;8,0;Electrician – Inside Wireman
Anna Rossi;2026-09-08;8,0;Electrician – Inside Wireman
Anna Rossi;2026-09-09;8,0;Electrician – Inside Wireman
Anna Rossi;2026-09-10;8,0;Electrician – Inside Wireman
Anna Rossi;2026-09-11;7,5;Electrician – Inside Wireman
José Peña;2026-09-07;8,0;Electrician – Inside Wireman
José Peña;2026-09-08;8,0;Electrician – Inside Wireman
José Peña;2026-09-09;8,0;Electrician – Inside Wireman
José Peña;2026-09-10;8,0;Electrician – Inside Wireman
José Peña;2026-09-11;7,5;Electrician – Inside Wireman
