Employee ID,Employee Name,Date,Hours,Job Code
1021,Miguel Alvarez,09/07/2026,8.0,ELEC-IW
1021,Miguel Alvarez,09/08/2026,8.0,ELEC-IW
1021,Miguel Alvarez,09/09/2026,8.0,ELEC-IW
1021,Miguel Alvarez,09/10/2026,8.0,ELEC-IW
1021,Miguel Alvarez,09/11/2026,7.5,ELEC-IW
1027,David Chen,09/07/2026,8.0,ELEC-IW
1027,David Chen,09/08/2026,8.0,ELEC-IW
1027,David Chen,09/09/2026,9.25,ELEC-IW
1027,David Chen,09/10/2026,8.0,ELEC-IW
1027,David Chen,09/11/2026,7.5,ELEC-IW
1018,Anna Rossi,09/07/2026,8.0,ELEC-IW
1018,Anna Rossi,09/08/2026,8.0,ELEC-IW
1018,Anna Rossi,09/09/2026,8.0,ELEC-IW
1018,Anna Rossi,09/10/2026,8.0,ELEC-IW
1018,Anna Rossi,09/11/2026,7.5,ELEC-IW
1050,José Peña,09/07/2026,8.0,ELEC-IW
1050,José Peña,09/08/2026,8.0,ELEC-IW
1050,José Peña,09/09/2026,8.0,ELEC-IW
1050,José Peña,09/10/2026,8.0,ELEC-IW
1050,José Peña,09/11/2026,7.5,ELEC-IW
