Employee,Date,Job/Customer,Service item,Hours,Notes
Miguel Alvarez,09/07/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Miguel Alvarez,09/08/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Miguel Alvarez,09/09/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Miguel Alvarez,09/10/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Miguel Alvarez,09/11/2026,Dutchess County Courthouse,Electrician – Inside Wireman,7.5,
David Chen,09/07/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
David Chen,09/08/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
David Chen,09/09/2026,Dutchess County Courthouse,Electrician – Inside Wireman,9.25,
David Chen,09/10/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
David Chen,09/11/2026,Dutchess County Courthouse,Electrician – Inside Wireman,7.5,
Anna Rossi,09/07/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Anna Rossi,09/08/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Anna Rossi,09/09/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Anna Rossi,09/10/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
Anna Rossi,09/11/2026,Dutchess County Courthouse,Electrician – Inside Wireman,7.5,
José Peña,09/07/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
José Peña,09/08/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
José Peña,09/09/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
José Peña,09/10/2026,Dutchess County Courthouse,Electrician – Inside Wireman,8.0,
José Peña,09/11/2026,Dutchess County Courthouse,Electrician – Inside Wireman,7.5,
