Employee;Date;Job/Customer;Service item;Hours;Notes
Miguel Alvarez;2026-09-07;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Miguel Alvarez;2026-09-08;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Miguel Alvarez;2026-09-09;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Miguel Alvarez;2026-09-10;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Miguel Alvarez;2026-09-11;Dutchess County Courthouse;Electrician – Inside Wireman;7,5;
David Chen;2026-09-07;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
David Chen;2026-09-08;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
David Chen;2026-09-09;Dutchess County Courthouse;Electrician – Inside Wireman;9,25;
David Chen;2026-09-10;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
David Chen;2026-09-11;Dutchess County Courthouse;Electrician – Inside Wireman;7,5;
Anna Rossi;2026-09-07;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Anna Rossi;2026-09-08;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Anna Rossi;2026-09-09;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Anna Rossi;2026-09-10;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
Anna Rossi;2026-09-11;Dutchess County Courthouse;Electrician – Inside Wireman;7,5;
José Peña;2026-09-07;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
José Peña;2026-09-08;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
José Peña;2026-09-09;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
José Peña;2026-09-10;Dutchess County Courthouse;Electrician – Inside Wireman;8,0;
José Peña;2026-09-11;Dutchess County Courthouse;Electrician – Inside Wireman;7,5;
